runs_to_race,run_miles,workout,race,long_run
0,2,0,0,0
1,3,0,0,0
2,3,0,0,0
3,3.5,0,0,0
4,7,0,0,0
5,4,0,0,0
6,3,0,0,0
7,2,0,0,0
8,2,0,0,0
9,6,0,0,0
10,2,0,0,0
11,3,0,0,0
12,2,0,0,0
13,1.5,0,0,0
14,7,0,0,0
15,1.5,0,0,0
16,3,0,0,0
17,1.5,0,0,0
18,2,0,0,0
19,6,0,0,0
20,1.5,0,0,0
21,3,0,0,0
22,1.5,0,0,0
23,1.5,0,0,0
24,6,0,0,0
25,1.5,0,0,0
26,3,0,0,0
27,1,0,0,0
28,1.5,0,0,0
29,5,0,0,0
30,1.5,0,0,0
31,2,0,0,0
32,1.5,0,0,0
33,1.5,0,0,0
34,5,0,0,0
35,2,0,0,0
36,2,0,0,0
37,1.5,0,0,0
