runs_to_race,run_miles,workout,race,long_run
0,2,0,0,0
1,3,0,0,0
2,3,0,0,0
3,5.5,0,0,0
4,6,0,0,0
5,2,0,0,0
6,4.5,0,0,0
7,3,0,0,0
8,5,0,0,0
9,6,0,0,0
10,2,0,0,0
11,4,0,0,0
12,3,0,0,0
13,4.5,0,0,0
14,6,0,0,0
15,2,0,0,0
16,4,0,0,0
17,3,0,0,0
18,4,0,0,0
19,5,0,0,0
20,2,0,0,0
21,3.5,0,0,0
22,3,0,0,0
23,4,0,0,0
24,5,0,0,0
25,2,0,0,0
26,3.5,0,0,0
27,2.5,0,0,0
28,3.5,0,0,0
29,4,0,0,0
30,2,0,0,0
31,3,0,0,0
32,2.5,0,0,0
33,3,0,0,0
34,4,0,0,0
35,2,0,0,0
36,3,0,0,0
37,2.5,0,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
