runs_to_race,run_miles,workout,race,long_run
0,4.0,0,0,0
1,4.0,0,0,0
2,12.0,0,0,0
3,3.0,0,0,0
4,4.0,0,0,0
5,6.0,0,0,0
6,5.0,0,0,0
7,11.0,0,0,0
8,5.0,0,0,0
9,5.0,0,0,0
10,8.0,0,0,0
11,5.0,0,0,0
12,6.2,0,0,0
13,5.0,0,0,0
14,8.0,0,0,0
15,5.0,0,0,0
16,10.0,0,0,0
17,5.0,0,0,0
18,4.5,0,0,0
19,7.0,0,0,0
20,4.5,0,0,0
21,9.0,0,0,0
22,4.0,0,0,0
23,4.5,0,0,0
24,7.0,0,0,0
25,4.5,0,0,0
26,3.1,0,0,0
27,4.0,0,0,0
28,6.0,0,0,0
29,4.0,0,0,0
30,8.0,0,0,0
31,3.0,0,0,0
32,4.0,0,0,0
33,6.0,0,0,0
34,4.0,0,0,0
35,7.0,0,0,0
36,3.0,0,0,0
37,3.5,0,0,0
38,5.0,0,0,0
39,3.5,0,0,0
40,6.0,0,0,0
41,3.5,0,0,0
42,5.0,0,0,0
43,3.5,0,0,0
44,5.0,0,0,0
45,3.0,0,0,0
46,3.0,0,0,0
47,4.0,0,0,0
48,3.0,0,0,0
49,4.0,0,0,0
50,3.0,0,0,0
51,3.0,0,0,0
52,4.0,0,0,0
53,3.0,0,0,0
